2026-03-14 15:18:45.552 | INFO     | __main__:run:146 - Starting gpt-5-nano pipeline. Processing 3992 records.
2026-03-14 15:18:47.689 | ERROR    | __main__:process_batch:133 - Batch processing error: Error code: 400 - {'error': {'message': "Unsupported parameter: 'top_p' is not supported with this model.", 'type': 'invalid_request_error', 'param': 'top_p', 'code': 'unsupported_parameter'}}
2026-03-14 15:18:47.694 | ERROR    | __main__:process_batch:133 - Batch processing error: Error code: 400 - {'error': {'message': "Unsupported parameter: 'top_p' is not supported with this model.", 'type': 'invalid_request_error', 'param': 'top_p', 'code': 'unsupported_parameter'}}
2026-03-14 15:18:47.724 | ERROR    | __main__:process_batch:133 - Batch processing error: Error code: 400 - {'error': {'message': "Unsupported parameter: 'top_p' is not supported with this model.", 'type': 'invalid_request_error', 'param': 'top_p', 'code': 'unsupported_parameter'}}
2026-03-14 15:18:47.739 | ERROR    | __main__:process_batch:133 - Batch processing error: Error code: 400 - {'error': {'message': "Unsupported parameter: 'top_p' is not supported with this model.", 'type': 'invalid_request_error', 'param': 'top_p', 'code': 'unsupported_parameter'}}
2026-03-14 15:18:47.745 | ERROR    | __main__:process_batch:133 - Batch processing error: Error code: 400 - {'error': {'message': "Unsupported parameter: 'top_p' is not supported with this model.", 'type': 'invalid_request_error', 'param': 'top_p', 'code': 'unsupported_parameter'}}
2026-03-14 15:18:47.895 | ERROR    | __main__:process_batch:133 - Batch processing error: Error code: 400 - {'error': {'message': "Unsupported parameter: 'top_p' is not supported with this model.", 'type': 'invalid_request_error', 'param': 'top_p', 'code': 'unsupported_parameter'}}
2026-03-14 15:18:47.898 | ERROR    | __main__:process_batch:133 - Batch processing error: Error code: 400 - {'error': {'message': "Unsupported parameter: 'top_p' is not supported with this model.", 'type': 'invalid_request_error', 'param': 'top_p', 'code': 'unsupported_parameter'}}
2026-03-14 15:18:47.945 | ERROR    | __main__:process_batch:133 - Batch processing error: Error code: 400 - {'error': {'message': "Unsupported parameter: 'top_p' is not supported with this model.", 'type': 'invalid_request_error', 'param': 'top_p', 'code': 'unsupported_parameter'}}
2026-03-14 15:18:48.003 | ERROR    | __main__:process_batch:133 - Batch processing error: Error code: 400 - {'error': {'message': "Unsupported parameter: 'top_p' is not supported with this model.", 'type': 'invalid_request_error', 'param': 'top_p', 'code': 'unsupported_parameter'}}
2026-03-14 15:18:48.007 | ERROR    | __main__:process_batch:133 - Batch processing error: Error code: 400 - {'error': {'message': "Unsupported parameter: 'top_p' is not supported with this model.", 'type': 'invalid_request_error', 'param': 'top_p', 'code': 'unsupported_parameter'}}
2026-03-14 15:18:48.026 | ERROR    | __main__:process_batch:133 - Batch processing error: Error code: 400 - {'error': {'message': "Unsupported parameter: 'top_p' is not supported with this model.", 'type': 'invalid_request_error', 'param': 'top_p', 'code': 'unsupported_parameter'}}
2026-03-14 15:18:48.219 | ERROR    | __main__:process_batch:133 - Batch processing error: Error code: 400 - {'error': {'message': "Unsupported parameter: 'top_p' is not supported with this model.", 'type': 'invalid_request_error', 'param': 'top_p', 'code': 'unsupported_parameter'}}
2026-03-14 15:18:48.255 | ERROR    | __main__:process_batch:133 - Batch processing error: Error code: 400 - {'error': {'message': "Unsupported parameter: 'top_p' is not supported with this model.", 'type': 'invalid_request_error', 'param': 'top_p', 'code': 'unsupported_parameter'}}
2026-03-14 15:18:48.321 | ERROR    | __main__:process_batch:133 - Batch processing error: Error code: 400 - {'error': {'message': "Unsupported parameter: 'top_p' is not supported with this model.", 'type': 'invalid_request_error', 'param': 'top_p', 'code': 'unsupported_parameter'}}
2026-03-14 15:18:48.323 | ERROR    | __main__:process_batch:133 - Batch processing error: Error code: 400 - {'error': {'message': "Unsupported parameter: 'top_p' is not supported with this model.", 'type': 'invalid_request_error', 'param': 'top_p', 'code': 'unsupported_parameter'}}
2026-03-14 15:18:48.543 | ERROR    | __main__:process_batch:133 - Batch processing error: Error code: 400 - {'error': {'message': "Unsupported parameter: 'top_p' is not supported with this model.", 'type': 'invalid_request_error', 'param': 'top_p', 'code': 'unsupported_parameter'}}
2026-03-14 15:18:48.562 | ERROR    | __main__:process_batch:133 - Batch processing error: Error code: 400 - {'error': {'message': "Unsupported parameter: 'top_p' is not supported with this model.", 'type': 'invalid_request_error', 'param': 'top_p', 'code': 'unsupported_parameter'}}
2026-03-14 15:18:48.687 | ERROR    | __main__:process_batch:133 - Batch processing error: Error code: 400 - {'error': {'message': "Unsupported parameter: 'top_p' is not supported with this model.", 'type': 'invalid_request_error', 'param': 'top_p', 'code': 'unsupported_parameter'}}
2026-03-14 15:18:48.688 | ERROR    | __main__:process_batch:133 - Batch processing error: Error code: 400 - {'error': {'message': "Unsupported parameter: 'top_p' is not supported with this model.", 'type': 'invalid_request_error', 'param': 'top_p', 'code': 'unsupported_parameter'}}
2026-03-14 15:18:48.807 | ERROR    | __main__:process_batch:133 - Batch processing error: Error code: 400 - {'error': {'message': "Unsupported parameter: 'top_p' is not supported with this model.", 'type': 'invalid_request_error', 'param': 'top_p', 'code': 'unsupported_parameter'}}
2026-03-14 15:18:48.813 | ERROR    | __main__:process_batch:133 - Batch processing error: Error code: 400 - {'error': {'message': "Unsupported parameter: 'top_p' is not supported with this model.", 'type': 'invalid_request_error', 'param': 'top_p', 'code': 'unsupported_parameter'}}
2026-03-14 15:18:48.841 | ERROR    | __main__:process_batch:133 - Batch processing error: Error code: 400 - {'error': {'message': "Unsupported parameter: 'top_p' is not supported with this model.", 'type': 'invalid_request_error', 'param': 'top_p', 'code': 'unsupported_parameter'}}
2026-03-14 15:18:48.852 | ERROR    | __main__:process_batch:133 - Batch processing error: Error code: 400 - {'error': {'message': "Unsupported parameter: 'top_p' is not supported with this model.", 'type': 'invalid_request_error', 'param': 'top_p', 'code': 'unsupported_parameter'}}
2026-03-14 15:18:48.855 | ERROR    | __main__:process_batch:133 - Batch processing error: Error code: 400 - {'error': {'message': "Unsupported parameter: 'top_p' is not supported with this model.", 'type': 'invalid_request_error', 'param': 'top_p', 'code': 'unsupported_parameter'}}
2026-03-14 15:18:48.865 | ERROR    | __main__:process_batch:133 - Batch processing error: Error code: 400 - {'error': {'message': "Unsupported parameter: 'top_p' is not supported with this model.", 'type': 'invalid_request_error', 'param': 'top_p', 'code': 'unsupported_parameter'}}
2026-03-14 15:18:48.992 | ERROR    | __main__:process_batch:133 - Batch processing error: Error code: 400 - {'error': {'message': "Unsupported parameter: 'top_p' is not supported with this model.", 'type': 'invalid_request_error', 'param': 'top_p', 'code': 'unsupported_parameter'}}
2026-03-14 15:18:48.995 | ERROR    | __main__:process_batch:133 - Batch processing error: Error code: 400 - {'error': {'message': "Unsupported parameter: 'top_p' is not supported with this model.", 'type': 'invalid_request_error', 'param': 'top_p', 'code': 'unsupported_parameter'}}
2026-03-14 15:18:49.106 | ERROR    | __main__:process_batch:133 - Batch processing error: Error code: 400 - {'error': {'message': "Unsupported parameter: 'top_p' is not supported with this model.", 'type': 'invalid_request_error', 'param': 'top_p', 'code': 'unsupported_parameter'}}
2026-03-14 15:18:49.128 | ERROR    | __main__:process_batch:133 - Batch processing error: Error code: 400 - {'error': {'message': "Unsupported parameter: 'top_p' is not supported with this model.", 'type': 'invalid_request_error', 'param': 'top_p', 'code': 'unsupported_parameter'}}
2026-03-14 15:18:49.137 | ERROR    | __main__:process_batch:133 - Batch processing error: Error code: 400 - {'error': {'message': "Unsupported parameter: 'top_p' is not supported with this model.", 'type': 'invalid_request_error', 'param': 'top_p', 'code': 'unsupported_parameter'}}
2026-03-14 15:18:49.158 | ERROR    | __main__:process_batch:133 - Batch processing error: Error code: 400 - {'error': {'message': "Unsupported parameter: 'top_p' is not supported with this model.", 'type': 'invalid_request_error', 'param': 'top_p', 'code': 'unsupported_parameter'}}
2026-03-14 15:18:49.167 | ERROR    | __main__:process_batch:133 - Batch processing error: Error code: 400 - {'error': {'message': "Unsupported parameter: 'top_p' is not supported with this model.", 'type': 'invalid_request_error', 'param': 'top_p', 'code': 'unsupported_parameter'}}
2026-03-14 15:18:49.171 | ERROR    | __main__:process_batch:133 - Batch processing error: Error code: 400 - {'error': {'message': "Unsupported parameter: 'top_p' is not supported with this model.", 'type': 'invalid_request_error', 'param': 'top_p', 'code': 'unsupported_parameter'}}
2026-03-14 15:18:49.299 | ERROR    | __main__:process_batch:133 - Batch processing error: Error code: 400 - {'error': {'message': "Unsupported parameter: 'top_p' is not supported with this model.", 'type': 'invalid_request_error', 'param': 'top_p', 'code': 'unsupported_parameter'}}
2026-03-14 15:18:49.378 | ERROR    | __main__:process_batch:133 - Batch processing error: Error code: 400 - {'error': {'message': "Unsupported parameter: 'top_p' is not supported with this model.", 'type': 'invalid_request_error', 'param': 'top_p', 'code': 'unsupported_parameter'}}
2026-03-14 15:18:49.410 | ERROR    | __main__:process_batch:133 - Batch processing error: Error code: 400 - {'error': {'message': "Unsupported parameter: 'top_p' is not supported with this model.", 'type': 'invalid_request_error', 'param': 'top_p', 'code': 'unsupported_parameter'}}
2026-03-14 15:18:49.467 | ERROR    | __main__:process_batch:133 - Batch processing error: Error code: 400 - {'error': {'message': "Unsupported parameter: 'top_p' is not supported with this model.", 'type': 'invalid_request_error', 'param': 'top_p', 'code': 'unsupported_parameter'}}
